"Sites"	"OMB"	"TTR"	"SD"	"Gam.Ab"	"rel.Gam.Abu"	"Body size < 0.25 cm"	"Body size: 0.25-0.5 cm"	"Body size: 0.5-1 cm"	"Body size: 1-2 cm"	"Body size: 2-4 cm"	"Body size: 4-8 cm"	"Body size > 8 cm"	"Life cycle < 1 year"	"Life cycle > 1 year"	"No. cycles < 1"	"No. cycles = 1"	"No. cycles > 1"	"Aquatic egg"	"Aquatic larva"	"Aquatic nymph"	"Aquatic adult"	"Ovoviviparity"	"Isolated eggs, free"	"Isolated eggs, cemented"	"Clutches, cemented or fixed"	"Clutches, free"	"Clutches, in vegetation"	"Clutches, terrestrial"	"Asexual reproduction"	"Dispersal: Aquatic passive"	"Dispersal: Aquatic active"	"Dispersal: Aerial passive"	"Dispersal: Aerial active"	"Resistance form: Eggs"	"Resistance form: Cocoons"	"Resistance form: Housing against desiccation"	"Resistance form: Diapause or dormancy"	"Resistance form: None"	"Respiration: Tegument"	"Respiration: Gill"	"Respiration: Plastron"	"Respiration: Spiracle"	"Respiration: Hydrostatic vesicle"	"Flier"	"Surface swimmer"	"Full water swimmer"	"Crawler"	"Burrower"	"Interstitial"	"Temporarily attached"	"Permanently attached"	"Food: Microorganisms"	"Food: Detritus (< 1mm)"	"Food: Dead plants (> 1mm)"	"Food: Microphytes"	"Food: Macrophytes"	"Food: Dead animals (> 1mm)"	"Food: Microinvertebrates"	"Food: Macroinvertebrates"	"Food: Vertebrates"	"Feeding habit: Absorber"	"Feeding habit: Deposit feeder"	"Feeding habit: Shredder"	"Feeding habit: Scraper"	"Feeding habit: Filter feeder"	"Feeding habit: Piercer"	"Feeding habit: Predator"	"Feeding habit: Parasite"	"Transver. dist.: River channel"	"Transver. Dist.: Banks, Connected side-arms"	"Transver. Dist.: Ponds, pools, disconnected side-arms"	"Transver. Dist.: Marshes, peat bogs"	"Transver. Dist.: Temporary waters"	"Transver. Dist.: Lakes"	"Transver. Dist.: Groundwaters"	"Longitudinal distribution: Crenon"	"Longitudinal distribution: Epirithron"	"Longitudinal distribution: Metarithron"	"Longitudinal distribution: Hyporithron"	"Longitudinal distribution: Epipotamon"	"Longitudinal distribution: Metapotamon"	"Longitudinal distribution: Estuary"	"Longitudinal distribution: Outside river system"	"Altitude: Lowlands"	"Altitude: Piedmont level"	"Altitude: Alpine level"	"Flags/boulders/cobbles/pebbles"	"Gravel"	"Sand"	"Silt"	"Macrophytes"	"Microphytes"	"Twigs/roots"	"Organic detritus/litter"	"Mud"	"Velocity: null"	"Velocity: slow(< 25 cm/s)"	"Velocity: medium (25-50 cm/s)"	"Velocity: fast (> 50 cm/s)"	"Oligotrophic"	"Mesotrophic"	"Eutrophic"	"Freshwater"	"Brackish water"	"Cold < 15C"	"Warm > 15C"	"Eurythermic"	"Xenosaprobic"	"Oligosaprobic"	"b-mesosaprobic"	"a-mesosaprobic"	"Polysaprobic"	"pH < 4"	"pH > 4-4.5"	"pH > 4.5-5"	"pH > 5-5.5"	"pH > 5.5-6"	"pH > 6"
"F1    "	0.00015636	15	2.210282357	298	80.97826	0	13	31	42	15	0	0	67	33	7	53	40	35	38	18	9	19	2	21	42	10	0	6	0	37	25	12	25	9	0	0	18	73	40	50	5	5	0	1	0	15	53	7	9	14	1	0	14	21	28	8	4	11	15	0	0	6	31	32	15	0	16	0	35	33	9	4	6	13	0	13	20	16	16	13	8	5	10	54	33	14	24	10	9	3	18	4	15	13	4	13	30	35	22	42	43	15	85	15	19	8	74	16	30	32	20	2	6	9	14	20	23	28
"F2  "	0.00426527	12	2.557676048	315	81.81818	0	15	21	34	17	13	0	53	48	19	55	26	35	43	12	10	15	18	8	33	8	0	20	0	36	23	9	32	3	0	0	18	79	32	49	6	13	0	1	0	9	55	21	7	6	0	0	11	21	21	8	5	8	26	0	0	4	33	29	8	6	20	0	36	32	9	6	6	11	0	14	21	16	13	11	7	5	12	57	35	8	19	12	11	6	15	3	10	15	9	14	32	33	21	58	33	8	88	12	26	3	71	16	39	31	11	2	5	8	16	22	23	26
"F4     "	0.000793005	16	1.88344947	294	71.35922	0	13	33	31	16	7	0	62	38	8	61	31	35	40	18	7	6	14	8	39	12	6	16	0	29	24	15	32	9	4	0	15	72	31	31	5	34	0	2	0	14	49	18	7	10	0	0	14	20	20	10	3	9	23	1	0	9	26	25	11	9	20	0	19	35	15	12	8	12	0	11	20	16	15	10	7	5	15	53	33	14	21	10	9	5	19	1	11	15	9	20	29	32	19	44	38	18	87	13	27	8	65	14	33	33	18	3	8	9	15	21	22	25
"F5   "	0.00013903	11	1.627734033	95	77.86885	0	18	24	39	18	0	0	46	54	22	57	22	38	34	9	19	23	4	0	62	0	0	12	0	43	29	12	17	16	0	0	12	72	43	40	9	9	0	2	2	6	53	24	8	6	0	1	8	18	23	13	6	12	18	0	0	3	37	26	9	0	26	0	19	33	20	7	5	16	0	8	16	17	17	15	11	3	14	52	29	19	18	10	12	10	15	2	9	15	8	15	33	37	15	48	43	10	87	13	26	0	74	12	33	33	21	2	3	5	13	21	26	33
"F6    "	0.00367395	12	1.61919761	586	77.82205	0	17	28	34	19	2	0	66	34	4	60	36	34	39	17	9	14	12	21	29	12	0	12	0	33	26	14	26	11	0	0	21	68	33	39	6	22	0	1	0	10	51	21	10	8	0	2	15	28	20	12	4	7	12	0	0	15	40	25	8	0	13	0	21	32	18	13	5	12	0	12	16	17	16	12	8	6	15	55	29	16	16	10	10	5	18	4	11	17	9	24	34	25	16	35	43	22	84	16	20	12	68	13	25	33	23	6	8	9	16	21	21	25
"F8    "	0.002155129	8	1.552809989	220	79.42238	0	17	19	28	19	17	0	47	53	25	53	22	39	43	10	8	11	25	11	36	0	0	18	0	35	22	7	37	3	0	0	7	90	28	56	8	8	0	2	0	4	54	27	6	6	0	0	10	23	23	7	3	10	25	0	0	3	36	27	9	0	24	0	42	30	9	6	4	9	0	11	19	18	15	14	7	3	13	58	33	9	18	13	12	7	13	2	12	16	8	10	35	37	18	53	36	11	90	10	20	3	77	17	35	35	13	0	4	7	16	22	24	26
"F9    "	0.001170707	11	2.857528697	69	75	0	12	23	42	21	2	0	65	35	7	50	43	32	37	21	10	23	10	15	28	13	0	10	0	38	25	16	20	5	0	0	30	65	36	45	0	19	0	0	0	14	47	15	11	14	0	1	15	26	20	11	4	10	13	0	0	11	36	26	15	0	13	0	25	29	16	10	6	13	0	14	20	16	13	9	7	6	14	52	34	14	18	9	8	5	18	5	11	18	8	22	30	27	22	40	40	20	83	18	21	12	67	13	27	32	22	6	8	9	15	21	21	26
"F11   "	0.001053162	13	4.768949435	117	31.03448	0	16	22	40	22	0	0	55	45	9	49	42	33	37	19	11	21	2	21	31	14	0	10	0	38	27	12	22	9	0	0	16	75	37	54	6	4	0	1	0	17	56	3	10	14	0	0	15	22	21	6	6	15	16	0	0	2	38	28	15	0	17	0	36	32	8	3	9	13	0	12	19	16	16	13	8	4	11	46	39	14	25	10	8	3	18	4	16	14	3	10	27	40	23	46	42	12	86	14	25	12	63	18	33	31	17	1	7	10	16	21	21	26
"V12"	0.000276008	5	1.183900732	2	3.278689	0	0	0	38	62	0	0	29	71	6	56	38	38	30	0	33	53	0	0	40	7	0	0	0	56	39	6	0	0	0	0	14	86	60	40	0	0	0	0	4	19	58	4	8	8	0	0	4	25	17	9	13	15	17	0	0	0	37	26	0	16	16	5	22	33	18	4	6	18	0	10	15	16	13	16	13	5	12	60	36	4	23	13	8	4	19	5	10	12	5	24	29	32	15	24	60	16	71	29	12	0	88	6	18	41	32	3	5	7	14	18	23	34
"V13  "	0.003371018	14	1.888403361	372	87.73585	0	13	16	30	27	14	0	55	45	17	47	36	34	39	17	10	17	21	12	21	12	0	17	0	39	21	12	29	4	0	0	19	77	30	48	5	18	0	1	0	12	44	25	8	11	0	1	12	19	19	9	3	12	25	0	0	8	31	20	8	0	33	0	29	30	14	10	5	13	0	11	15	17	14	13	10	7	13	56	32	12	17	11	12	7	15	4	9	15	9	19	33	31	17	45	37	18	85	15	24	9	67	11	31	34	19	5	6	7	16	23	23	26
