"sites"	"Antocha spec."	"Arcynopteryx compacta"	"Asellus aquaticus"	"Baetis spec."	"Bathyomphalus contortus"	"Bithynia tentaculata"	"Calopteryx splendens"	"Chironomidae"	"Cordulegaster bidentatus"	"Cordulegaster boltonii"	"Dicranota spec."	"Diplectrona felix"	"Ecdyonurus spec."	"Eloeophila spec."	"Ephemera danica"	"Erpobdella octoculata"	"Gammarus fossarum"	"Gammarus pulex"	"Gammarus roeselli"	"Glossiphonia nebulosa"	"Gyraulus albus"	"Gyrinidae"	"Helobdella stagnalis"	"Hippeutis complanatus"	"Hydropsyche modesta"	"Ilybius spec."	"Laccobius spec."	"Leuctridae"	"Limnephilus extricatus"	"Limnophora aequifrons"	"Limoniidae"	"Nepa cinerea"	"Notonecta maculata"	"Odontocerum albicorne"	"Omphiscola glabra"	"Osmylus spec."	"Philopotamus ludificatus"	"Philopotamus montanus"	"Philopotamus variegatus"	"Physa fontinalis"	"Pisidium spec."	"Planorbis planorbis"	"Platambus maculatus"	"Polycentropus irroratus"	"Protonemura spec."	"Psychomyia pusilla"	"Ptychoptera rufocinctus"	"Ptychoptera spec."	"Radix ovata"	"Rhyacophila aurata"	"Rhyacophila dorsalis/vulgaris etc"	"Rhyacophila fasciata"	"Rhyacophila polonica"	"Rhyacophila pubescens"	"Rhyacophila tristis"	"Rhyacophilidae"	"Scirtes spec."	"Sericostoma pers./flavi."	"Sialis nigripes"	"Silo pallipes"	"Simuliidae"	"Stagnicola glaber"	"Stenelmis spec."	"Tabanidae"	"Theromyzon tessulatum"	"Tipula spec."
"ID"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66
"F 1"	0	0	1	5	0	0	0	1	0	0	0	0	0	1	0	0	237	61	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	12	1	0	0	0	0	2	5	0	0	0	0	4	2	0	0	0	0	34	0	0	0
"F 2"	0	0	0	1	0	0	0	1	1	0	0	0	0	5	0	0	98	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	8	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	9	2	0	0	0	0	31	0	0	0
"F 4"	1	0	0	8	0	0	0	2	0	0	1	1	0	6	0	0	0	294	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	1	0	4	1	0	0	4	0	40	0	0	1
"F 5"	0	6	0	3	0	0	0	0	0	0	0	0	0	2	0	1	0	95	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	7	0	0	0
"F 6"	1	0	3	0	0	0	0	2	0	0	0	0	0	1	0	0	586	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	1	0	54	0	0	0	22	0	53	0	0	0
"F 8"	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	220	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	27	7	0	0	0	0	14	0	0	0
"F 9"	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	49	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	12	1	0	0	2	0	0	0	0	0
"F 11"	0	0	0	16	0	0	0	2	0	0	0	0	0	0	0	0	11	105	1	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	4	0	0	2	0	13	1	0	0	52	0	30	0	0	0
"V 12"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"V 13"	0	0	1	0	0	0	0	8	1	0	2	0	0	3	0	0	73	299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	1	0	0	0	0	8	0	0	0	4	0	17	0	0	0
"V 14"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"V 15"	0	0	0	2	0	0	0	2	0	0	0	0	0	6	0	1	163	142	106	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	7	0	0	0	0	0	35	0	0	0
"V 18"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	441	166	2	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	31	0	0	0	0	0	3	0	0	0
"V 19"	0	0	5	8	0	0	0	3	0	0	0	0	0	0	0	6	0	0	415	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	1	0	0	0
