"Site";"type";"OMB";"Stream width";"Stream depth";"Velocity";"Temperature";"pH";"O2";"EC";"NO2";"NO3";"PO4";"NH4";"Shading";"Megalithal";"Macrolithal";"Mesolithal";"Microlithal";"Akal";"Psammal";"Technolithal";"Algae";"Submergent macrophytes";"Emergent macrophytes";"Terrestrial plants";"Xylal";"CPOM";"FPOM";"Organic mud";"Tree cover";"Width of riparian zone"
"F1";"F";0.00015636;1.67;0.15;0.47;11.25366053;7.56;10.13;195;0.0025;3;0.1;0;5;0;0;20;5;0;50;0;0;0;0;0;20;5;0;0;1;5.75
"F2";"F";0.00426527;1.6;0.07;0.22;11.18348563;7.87;10.04;184;0.0025;3;0.1;0;4;0;5;25;0;0;45;0;0;0;0;0;15;10;0;0;1;7.5
"F4";"F";0.000793005;2.5;0.1;0.256666667;11.25366053;7.93;9.83;229;5;3;75;0;4;5;10;10;5;5;50;0;0;0;0;15;0;0;0;0;1;10
"F5";"F";0.00013903;1.8;0.14;0.316666667;11.25366053;7.16;10.99;59;0.0025;1;0.05;0;4;0;0;0;10;0;50;0;0;0;0;10;25;5;0;0;1;0.5
"F6";"F";0.00367395;1.4;0.06;0.26;12.02780368;7.53;10.99;134;0.0025;2;0.7;0;4;5;0;0;5;5;50;0;0;0;5;10;10;10;0;0;1;5
"F8";"F";0.002155129;2.1;0.18;0.54;12.02780368;7.45;11.01;127;0.0025;1;0.1;0;5;0;0;0;15;5;30;0;0;0;0;0;25;25;0;0;2;7.5
"F9";"F";0.001170707;1.8;0.25;0.24;12.02780368;7.09;10.99;130;0.0025;3;0.15;0;3;0;0;5;0;0;10;0;0;0;60;5;20;0;0;0;1;4.25
"F11";"F";0.001053162;3.8;0.4;0.77;11.25366053;7.01;10.92;88;5;3;0.15;0;5;5;0;35;15;0;10;5;0;10;0;0;10;10;0;0;2;5.25
"V12";"V";0.000276008;1;0.19;0.01;12.61211737;7.94;5.3;1290;0.1;60;0.35;0;5;5;0;10;0;0;10;5;0;0;0;20;0;0;0;50;1;1
"V13";"V";0.003371018;1.5;0.12;0.21;12.49898263;7.7;9.93;222;0.07;4;0.3;0;4;5;0;25;0;0;35;15;0;0;0;15;5;0;0;0;2;4
